#,Unnamed: 1,Store,URL,Product Name,Size information,Regular price,Ingredients on Product Page,Details,Directions,Allergens and Warnings,Product category,URL of primary product picture,URLs of other product images,Related Items,Often Bought With,Serving Size,Servings Per Container,Calories,Total Fat,Total Fat %,Saturated Fat,Saturated Fat %,Trans Fat,Cholesterol,Cholesterol %,Sodium,Sodium %,Total Carbohydrate,Total Carbohydrate %,Dietary Fiber,Dietary Fiber %,Sugars,Protein,Polyunsaturated Fat,Monounsaturated Fat,Nutrition URL,Brand,ID,Tags,Total Sugars,Total Sugars %,Added Sugars,Added Sugars %,Sugars %,Sugar Alcohol,Calories from Fat,Trans Fat%,Protein %,Vitamin D,Vitamin D %,Calcium,Calcium %,Iron,Iron %,Potassium,Potassium %,Calories%,Insoluble Fiber,Other Carbohydrate,Flavor,Available,Food Allergen Statements,Quantity,Model,Manufacturer Part Number,Walmart Number,BPN,SKU ID,UPC,Rating,Reviews,Sugars Alcohol%,Vitamin A,Vitamin C,Price 1,Price pickup1,Price delivery,Price delivery1,Price ship,Price ship1
5161,,Wingstop,https://www.wingstop.com/menu/drinks/soft-drinks,Gold Peak Sweet Green Tea,Regular,,,Wingstop is proud to pour a variety of Coca-Cola and Dr. Pepper beverages.,,,Drinks,https://olo-images-live.imgix.net/98/98cdac63b61e4b4883d9419c8a85d5c4.png?auto=format%2Ccompress&q=60&cs=tinysrgb&w=524&h=350&fit=crop&fm=png32&s=d652118895abe91c1b36c108c0035291,,,,600,,200,0,,0,,,,,19,,55,,,,55,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5162,,Wingstop,https://www.wingstop.com/menu/drinks/soft-drinks,Gold Peak Unsweetened Tea,Regular,,,Wingstop is proud to pour a variety of Coca-Cola and Dr. Pepper beverages.,,,Drinks,https://olo-images-live.imgix.net/98/98cdac63b61e4b4883d9419c8a85d5c4.png?auto=format%2Ccompress&q=60&cs=tinysrgb&w=524&h=350&fit=crop&fm=png32&s=d652118895abe91c1b36c108c0035291,,,,600,,2,0,,0,,,,,20,,1,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5163,,Wingstop,https://www.wingstop.com/menu/drinks/soft-drinks,Gold Peak Southern Tea,Regular,,,Wingstop is proud to pour a variety of Coca-Cola and Dr. Pepper beverages.,,,Drinks,https://olo-images-live.imgix.net/98/98cdac63b61e4b4883d9419c8a85d5c4.png?auto=format%2Ccompress&q=60&cs=tinysrgb&w=524&h=350&fit=crop&fm=png32&s=d652118895abe91c1b36c108c0035291,,,,600,,255,0,,0,,,,,20,,66,,,,65,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5164,,Wingstop,https://www.wingstop.com/menu/drinks/soft-drinks,Nestea Peach Tea,Regular,,,Wingstop is proud to pour a variety of Coca-Cola and Dr. Pepper beverages.,,,Drinks,https://olo-images-live.imgix.net/98/98cdac63b61e4b4883d9419c8a85d5c4.png?auto=format%2Ccompress&q=60&cs=tinysrgb&w=524&h=350&fit=crop&fm=png32&s=d652118895abe91c1b36c108c0035291,,,,600,,202,0,,0,,,,,20,,50,,,,50,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5165,,Wingstop,https://www.wingstop.com/menu/drinks/soft-drinks,Dr. Pepper,Large,,,Wingstop is proud to pour a variety of Coca-Cola and Dr. Pepper beverages.,,,Drinks,https://olo-images-live.imgix.net/98/98cdac63b61e4b4883d9419c8a85d5c4.png?auto=format%2Ccompress&q=60&cs=tinysrgb&w=524&h=350&fit=crop&fm=png32&s=d652118895abe91c1b36c108c0035291,,,,960,,360,0,,0,,,,,120,,104,,,,104,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5166,,Wingstop,https://www.wingstop.com/menu/drinks/soft-drinks,Coke,Large,,,Wingstop is proud to pour a variety of Coca-Cola and Dr. Pepper beverages.,,,Drinks,https://olo-images-live.imgix.net/98/98cdac63b61e4b4883d9419c8a85d5c4.png?auto=format%2Ccompress&q=60&cs=tinysrgb&w=524&h=350&fit=crop&fm=png32&s=d652118895abe91c1b36c108c0035291,,,,960,,396,0,,0,,,,,8,,108,,,,108,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5167,,Wingstop,https://www.wingstop.com/menu/drinks/soft-drinks,Diet Coke,Large,,,Wingstop is proud to pour a variety of Coca-Cola and Dr. Pepper beverages.,,,Drinks,https://olo-images-live.imgix.net/98/98cdac63b61e4b4883d9419c8a85d5c4.png?auto=format%2Ccompress&q=60&cs=tinysrgb&w=524&h=350&fit=crop&fm=png32&s=d652118895abe91c1b36c108c0035291,,,,960,,3,0,,0,,,,,40,,2,,,,2,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5168,,Wingstop,https://www.wingstop.com/menu/drinks/soft-drinks,Sprite,Large,,,Wingstop is proud to pour a variety of Coca-Cola and Dr. Pepper beverages.,,,Drinks,https://olo-images-live.imgix.net/98/98cdac63b61e4b4883d9419c8a85d5c4.png?auto=format%2Ccompress&q=60&cs=tinysrgb&w=524&h=350&fit=crop&fm=png32&s=d652118895abe91c1b36c108c0035291,,,,960,,388,0,,0,,,,,88,,104,,,,104,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5169,,Wingstop,https://www.wingstop.com/menu/drinks/soft-drinks,Fanta Orange,Large,,,Wingstop is proud to pour a variety of Coca-Cola and Dr. Pepper beverages.,,,Drinks,https://olo-images-live.imgix.net/98/98cdac63b61e4b4883d9419c8a85d5c4.png?auto=format%2Ccompress&q=60&cs=tinysrgb&w=524&h=350&fit=crop&fm=png32&s=d652118895abe91c1b36c108c0035291,,,,960,,444,0,,0,,,,,56,,120,,,,120,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5170,,Wingstop,https://www.wingstop.com/menu/drinks/soft-drinks,Fanta Strawberry,Large,,,Wingstop is proud to pour a variety of Coca-Cola and Dr. Pepper beverages.,,,Drinks,https://olo-images-live.imgix.net/98/98cdac63b61e4b4883d9419c8a85d5c4.png?auto=format%2Ccompress&q=60&cs=tinysrgb&w=524&h=350&fit=crop&fm=png32&s=d652118895abe91c1b36c108c0035291,,,,960,,452,0,,0,,,,,36,,124,,,,124,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
